"id","class"
18386,"information giving"
18387,"problem discovery"
18388,"information giving"
18405,"problem discovery"
18408,"problem discovery"
18412,"information giving"
18412,"problem discovery"
18420,"problem discovery"
18434,"problem discovery"
18434,"problem discovery"
18434,"problem discovery"
18435,"information giving"
18437,"information giving"
18445,"problem discovery"
18445,"problem discovery"
18447,"information giving"
18447,"information giving"
18450,"problem discovery"
18457,"information giving"
18464,"information giving"
18471,"problem discovery"
18478,"problem discovery"
18481,"problem discovery"
18481,"problem discovery"
18484,"problem discovery"
18484,"problem discovery"
18490,"information giving"
18495,"problem discovery"
18503,"information giving"
18524,"information giving"
18526,"problem discovery"
18530,"feature request"
18532,"problem discovery"
18534,"information giving"
18536,"information giving"
18544,"problem discovery"
18544,"problem discovery"
18548,"information giving"
18550,"problem discovery"
18557,"problem discovery"
18560,"information giving"
18570,"information giving"
18583,"information giving"
18600,"problem discovery"
18607,"information giving"
18608,"problem discovery"
143531,"problem discovery"
143628,"feature request"
143666,"problem discovery"
143704,"problem discovery"
143713,"information seeking"
143726,"information giving"
143739,"feature request"
143754,"problem discovery"
143770,"feature request"
143773,"problem discovery"
143862,"problem discovery"
143892,"problem discovery"
143898,"problem discovery"
143928,"feature request"
143928,"information giving"
143935,"feature request"
143955,"feature request"
143957,"problem discovery"
143959,"information giving"
143962,"feature request"
143994,"information giving"
144018,"information giving"
144023,"information giving"
144029,"problem discovery"
144032,"information seeking"
144060,"feature request"
144072,"problem discovery"
144081,"information seeking"
144086,"problem discovery"
144086,"problem discovery"
144105,"information giving"
144132,"problem discovery"
144189,"information seeking"
144189,"information seeking"
144214,"problem discovery"
8,"information giving"
8,"problem discovery"
23,"information giving"
28,"feature request"
32,"information giving"
35,"problem discovery"
38,"information giving"
38,"information giving"
1542,"problem discovery"
1551,"problem discovery"
1552,"information seeking"
1552,"feature request"
1553,"problem discovery"
1554,"problem discovery"
1558,"information giving"
1559,"information seeking"
1562,"problem discovery"
1563,"feature request"
1565,"information seeking"
1565,"feature request"
1567,"problem discovery"
1569,"problem discovery"
1571,"information giving"
1575,"information seeking"
1578,"feature request"
1581,"information giving"
1582,"information seeking"
1585,"feature request"
1585,"problem discovery"
1585,"information giving"
1586,"feature request"
3560,"information giving"
3561,"information giving"
3561,"information giving"
3563,"problem discovery"
3563,"information giving"
3566,"information giving"
3566,"problem discovery"
3568,"feature request"
3570,"information giving"
3578,"information giving"
3578,"feature request"
3588,"problem discovery"
3588,"feature request"
3592,"information giving"
3593,"problem discovery"
3593,"problem discovery"
3600,"problem discovery"
3616,"information giving"
3617,"information giving"
3619,"information giving"
3623,"problem discovery"
3626,"problem discovery"
3630,"feature request"
3632,"information giving"
3633,"information giving"
3638,"information giving"
3647,"problem discovery"
3652,"information giving"
3653,"problem discovery"
3666,"information giving"
3666,"information seeking"
3667,"feature request"
3671,"feature request"
3671,"feature request"
3672,"feature request"
3674,"feature request"
3675,"information giving"
3683,"information giving"
3684,"problem discovery"
3684,"problem discovery"
3685,"problem discovery"
3687,"information giving"
3698,"information giving"
3707,"problem discovery"
3713,"feature request"
3720,"information giving"
3720,"information giving"
3723,"problem discovery"
3726,"problem discovery"
3728,"information giving"
3728,"problem discovery"
3728,"problem discovery"
3729,"feature request"
3730,"information giving"
3734,"information giving"
3740,"problem discovery"
3747,"problem discovery"
3747,"feature request"
3749,"information giving"
3749,"problem discovery"
3749,"information giving"
3751,"problem discovery"
3753,"problem discovery"
3756,"problem discovery"
3756,"information giving"
3757,"information giving"
3758,"problem discovery"
3758,"problem discovery"
3758,"problem discovery"
3758,"information giving"
3759,"problem discovery"
3762,"feature request"
3764,"problem discovery"
3767,"feature request"
3771,"problem discovery"
3772,"feature request"
3782,"problem discovery"
3782,"information seeking"
3783,"feature request"
3783,"information giving"
3786,"information giving"
3786,"problem discovery"
3786,"information giving"
3786,"information seeking"
3786,"information giving"
3791,"information giving"
3791,"information giving"
12438,"information seeking"
12440,"information giving"
12454,"information giving"
12454,"problem discovery"
12458,"information giving"
12468,"information giving"
12499,"feature request"
12505,"feature request"
12509,"problem discovery"
12521,"information giving"
12533,"information giving"
12541,"information giving"
12545,"information giving"
12551,"feature request"
12554,"problem discovery"
12562,"information giving"
12565,"information giving"
12567,"information giving"
12579,"feature request"
12581,"information giving"
12601,"problem discovery"
12604,"information giving"
12604,"information giving"
12608,"information giving"
12608,"information giving"
12614,"problem discovery"
12617,"information giving"
12655,"information giving"
12661,"problem discovery"
12663,"information giving"
12668,"feature request"
12669,"information giving"
12682,"information giving"
12685,"feature request"
12685,"feature request"
12692,"problem discovery"
12693,"problem discovery"
12698,"information giving"
12710,"information giving"
12711,"information giving"
12712,"information giving"
12723,"information giving"
12748,"information giving"
12760,"problem discovery"
12761,"problem discovery"
12762,"information giving"
12763,"feature request"
12767,"problem discovery"
12787,"information giving"
12800,"information giving"
12805,"feature request"
12810,"problem discovery"
12838,"problem discovery"
12851,"information giving"
12861,"information seeking"
12877,"information giving"
12879,"information giving"
12885,"information giving"
12893,"feature request"
12907,"information giving"
12919,"problem discovery"
12920,"feature request"
12920,"feature request"
12921,"problem discovery"
12939,"information giving"
12955,"information giving"
12956,"feature request"
12960,"information giving"
12967,"information giving"
12968,"feature request"
12992,"problem discovery"
12994,"problem discovery"
13003,"feature request"
13003,"information giving"
13005,"feature request"
13010,"feature request"
13019,"information giving"
13024,"problem discovery"
13024,"information giving"
13033,"information giving"
13052,"feature request"
13056,"information giving"
13070,"problem discovery"
13072,"information seeking"
13074,"problem discovery"
13075,"information giving"
13083,"feature request"
13096,"problem discovery"
13099,"feature request"
13100,"problem discovery"
13102,"problem discovery"
13106,"problem discovery"
13108,"information giving"
13111,"information giving"
13116,"information seeking"
13119,"information giving"
13123,"information giving"
13139,"information giving"
13141,"problem discovery"
13145,"information giving"
13146,"problem discovery"
13148,"problem discovery"
13154,"information seeking"
13162,"information seeking"
13162,"information seeking"
13172,"problem discovery"
13189,"information giving"
13226,"feature request"
13227,"feature request"
13231,"feature request"
13231,"feature request"
13259,"problem discovery"
13263,"information seeking"
13273,"feature request"
13286,"problem discovery"
13291,"problem discovery"
13295,"feature request"
13298,"information giving"
13300,"information giving"
13300,"problem discovery"
13300,"feature request"
13300,"problem discovery"
13308,"feature request"
13316,"problem discovery"
13320,"information giving"
13353,"information giving"
13353,"information giving"
13356,"information giving"
13373,"information giving"
13375,"information giving"
13377,"information giving"
13385,"feature request"
13388,"problem discovery"
13388,"information giving"
13391,"information giving"
13402,"information seeking"
13403,"information giving"
13407,"information giving"
13415,"problem discovery"
13416,"problem discovery"
13418,"information giving"
13424,"information seeking"
13429,"information giving"
13435,"information giving"
13446,"problem discovery"
13453,"problem discovery"
13472,"information giving"
13476,"feature request"
13480,"information giving"
13485,"feature request"
13492,"information giving"
13495,"information giving"
13495,"information giving"
13496,"problem discovery"
13498,"information giving"
13501,"information giving"
13519,"information giving"
13523,"information giving"
13527,"information giving"
13530,"information giving"
13540,"information giving"
13542,"information giving"
13544,"information giving"
13546,"information giving"
13547,"information giving"
13548,"information giving"
13573,"information giving"
13588,"information giving"
13597,"information giving"
13604,"information giving"
13637,"information giving"
13639,"problem discovery"
13644,"problem discovery"
13665,"information giving"
13670,"information giving"
13672,"feature request"
13673,"information giving"
13685,"information giving"
13703,"information seeking"
13704,"information giving"
13705,"problem discovery"
13705,"information giving"
13736,"information giving"
13745,"information giving"
13749,"information giving"
13764,"information giving"
13770,"information giving"
13792,"information giving"
13792,"information giving"
13798,"information giving"
13798,"information giving"
13803,"feature request"
13812,"problem discovery"
13818,"information giving"
13820,"information seeking"
13824,"problem discovery"
13826,"problem discovery"
13838,"information giving"
13840,"information giving"
13844,"information giving"
13845,"problem discovery"
13845,"problem discovery"
13850,"problem discovery"
13874,"information giving"
13882,"feature request"
13892,"information giving"
13896,"feature request"
13898,"problem discovery"
13928,"problem discovery"
13928,"information giving"
13931,"problem discovery"
13931,"information giving"
13932,"information giving"
13936,"information giving"
13940,"problem discovery"
13941,"information giving"
13963,"information giving"
13976,"information giving"
13988,"feature request"
14004,"problem discovery"
14008,"information giving"
14012,"problem discovery"
14013,"feature request"
14022,"problem discovery"
14023,"problem discovery"
14023,"information giving"
14037,"problem discovery"
14038,"information giving"
14045,"information giving"
14048,"problem discovery"
14074,"problem discovery"
14074,"problem discovery"
14075,"feature request"
14080,"problem discovery"
14092,"feature request"
14097,"feature request"
14109,"feature request"
14110,"information giving"
14112,"information giving"
14121,"problem discovery"
14125,"information giving"
14125,"information giving"
14135,"problem discovery"
14135,"problem discovery"
14139,"information giving"
14149,"problem discovery"
14161,"information seeking"
14164,"information giving"
14167,"feature request"
14168,"feature request"
14170,"information giving"
14171,"information giving"
14172,"information giving"
14181,"information giving"
14193,"information giving"
14198,"information giving"
14199,"information giving"
14211,"problem discovery"
14212,"information seeking"
14217,"information giving"
14221,"information giving"
14228,"information giving"
14229,"information giving"
14235,"information giving"
14235,"information giving"
14254,"information giving"
14256,"feature request"
14256,"feature request"
14256,"feature request"
14268,"information giving"
14276,"information giving"
14283,"information giving"
14289,"information giving"
14292,"information giving"
14300,"feature request"
14301,"information giving"
14304,"information giving"
14313,"problem discovery"
14314,"information giving"
14314,"information giving"
14315,"feature request"
14318,"information seeking"
14331,"information giving"
14344,"problem discovery"
14351,"information giving"
14352,"problem discovery"
14355,"information seeking"
14364,"problem discovery"
14381,"information giving"
14411,"information giving"
14421,"problem discovery"
14422,"information giving"
14429,"information giving"
14435,"information giving"
14447,"information giving"
14451,"problem discovery"
14464,"information giving"
14466,"problem discovery"
14470,"problem discovery"
14474,"information giving"
14490,"information seeking"
14490,"feature request"
14492,"information seeking"
14521,"problem discovery"
14542,"information giving"
14543,"information giving"
14550,"feature request"
14553,"information giving"
14575,"information giving"
14582,"information giving"
14586,"information giving"
14602,"information seeking"
14605,"information giving"
14614,"information giving"
14629,"feature request"
14641,"information giving"
14641,"information seeking"
14642,"feature request"
14650,"information giving"
14652,"problem discovery"
14660,"information giving"
14672,"information giving"
14675,"information giving"
14675,"feature request"
14705,"information giving"
14710,"information giving"
14722,"information giving"
14728,"information giving"
14735,"information giving"
14739,"information giving"
14750,"information giving"
14762,"information giving"
14764,"feature request"
14765,"information giving"
14781,"problem discovery"
14798,"information giving"
14803,"information giving"
14804,"information giving"
14813,"feature request"
14830,"information giving"
14830,"information giving"
14830,"feature request"
14832,"information giving"
14835,"information giving"
14836,"problem discovery"
14839,"problem discovery"
14847,"feature request"
14884,"feature request"
14901,"information giving"
14905,"information giving"
14908,"information giving"
14911,"feature request"
14913,"feature request"
14915,"feature request"
14926,"problem discovery"
14929,"information giving"
14931,"information giving"
14932,"information giving"
14933,"information giving"
14933,"information giving"
14940,"problem discovery"
14941,"information giving"
14942,"information giving"
14942,"information giving"
14943,"problem discovery"
14943,"feature request"
14943,"information seeking"
14945,"problem discovery"
14947,"problem discovery"
14975,"information giving"
14982,"information seeking"
14983,"feature request"
14986,"information giving"
15000,"information giving"
15000,"information seeking"
15001,"problem discovery"
15006,"feature request"
15006,"information seeking"
15012,"problem discovery"
15036,"information giving"
15039,"information giving"
15054,"problem discovery"
15061,"problem discovery"
15069,"feature request"
15082,"information giving"
15091,"information seeking"
15113,"feature request"
15116,"information giving"
15129,"feature request"
15130,"feature request"
15133,"information giving"
15150,"information giving"
15154,"information giving"
15170,"information giving"
15174,"problem discovery"
15174,"problem discovery"
15186,"information giving"
15187,"feature request"
15204,"information giving"
15205,"feature request"
15206,"problem discovery"
15209,"information giving"
15212,"information giving"
15212,"information giving"
15235,"information giving"
15247,"feature request"
15254,"information giving"
15255,"information giving"
15255,"feature request"
15260,"problem discovery"
15263,"problem discovery"
15267,"feature request"
15279,"information seeking"
15280,"problem discovery"
15280,"feature request"
15286,"information seeking"
15293,"information giving"
15294,"feature request"
15297,"information giving"
15328,"information giving"
15335,"information giving"
15347,"problem discovery"
15355,"problem discovery"
15356,"problem discovery"
15356,"problem discovery"
15383,"information giving"
15384,"information giving"
15387,"problem discovery"
15388,"information giving"
15392,"feature request"
15393,"information giving"
15407,"information giving"
15410,"feature request"
15411,"problem discovery"
15423,"feature request"
15430,"problem discovery"
15443,"information giving"
15460,"information giving"
15467,"information seeking"
15475,"information giving"
15484,"information seeking"
15495,"problem discovery"
15501,"feature request"
15506,"problem discovery"
15506,"problem discovery"
15507,"information giving"
15513,"problem discovery"
15513,"information seeking"
15515,"problem discovery"
15529,"information seeking"
15537,"problem discovery"
15539,"information seeking"
15540,"problem discovery"
15551,"problem discovery"
15564,"problem discovery"
15564,"information seeking"
15564,"feature request"
15564,"feature request"
15568,"information seeking"
15570,"information giving"
15570,"information giving"
15574,"information giving"
15574,"feature request"
15582,"information giving"
15588,"information giving"
15605,"feature request"
15605,"feature request"
15607,"information giving"
15611,"feature request"
15615,"information giving"
15627,"information giving"
15641,"information giving"
15656,"information giving"
15656,"feature request"
15664,"information giving"
15673,"feature request"
15698,"problem discovery"
15700,"information giving"
15700,"information giving"
15724,"problem discovery"
15727,"information giving"
15731,"information giving"
15738,"information giving"
15743,"information giving"
15747,"information giving"
15754,"information giving"
15757,"problem discovery"
15761,"feature request"
15770,"information seeking"
15776,"information giving"
15781,"problem discovery"
15791,"information giving"
15804,"problem discovery"
15813,"information giving"
15817,"problem discovery"
15820,"information giving"
15820,"information seeking"
15822,"information giving"
15826,"information seeking"
15832,"problem discovery"
15839,"information giving"
15839,"information giving"
15873,"feature request"
15875,"problem discovery"
15875,"problem discovery"
15875,"information seeking"
15881,"information giving"
15900,"information giving"
15907,"information seeking"
15913,"feature request"
15917,"problem discovery"
15917,"feature request"
15921,"information seeking"
15921,"information seeking"
15921,"information seeking"
15922,"information giving"
15925,"information giving"
15928,"information giving"
15944,"information giving"
15950,"information giving"
15954,"feature request"
15968,"feature request"
15973,"information giving"
15973,"information giving"
15978,"information giving"
15979,"information giving"
15981,"information giving"
15995,"information giving"
15997,"information giving"
16014,"information giving"
16015,"information giving"
16025,"information giving"
16025,"information giving"
16025,"information giving"
16033,"problem discovery"
16033,"feature request"
16035,"feature request"
16039,"problem discovery"
16045,"information giving"
16046,"problem discovery"
142988,"information seeking"
143005,"feature request"
143008,"information seeking"
143008,"information seeking"
143046,"information giving"
143047,"feature request"
143061,"problem discovery"
143083,"feature request"
143098,"information giving"
143104,"feature request"
143143,"problem discovery"
143149,"feature request"
143174,"information giving"
143200,"information giving"
143216,"feature request"
143228,"information giving"
143231,"feature request"
143279,"information seeking"
143280,"feature request"
143292,"feature request"
143293,"information seeking"
143304,"problem discovery"
143308,"feature request"
143330,"feature request"
143355,"feature request"
143379,"feature request"
143379,"feature request"
143391,"feature request"
143400,"information giving"
143405,"information seeking"
143450,"problem discovery"
143476,"information giving"
143509,"problem discovery"
143513,"feature request"
143513,"information seeking"
143513,"feature request"
