"id","req_specification","class"
"699","As a camp administrator, I want to be able to delete tasks/activities I scheduled, so that I can keep the schedule clean of unneeded activities.","F"
"700","Those are the kind of issues that scare the crap out of me. I know they're trying to use it.","NULL"
"701","As a user researcher, I want to have a list of priority workflow candidates that we might test, so that I can make sure we're capturing the priority areas.","F"
"702","As long as it's not scheduled over the weekend, I don't care.","NULL"
"703","We'll, make sure we tell...","NULL"
"704","Only three minutes, it's not worth it .","NULL"
"705","Knocking some stuff off the list. It is helpful. It is generally good, but not has been better or worse than the other. We've started knocking stuff off the list and maybe get more fuzzy .","NULL"
"706","As an Applicant, I want to Resubmit Plans, so that I can review revised plans.","F"
"707","What's that?","NULL"
"708","I agree.","NULL"
"709","And Brian doesn't have anything? He's afraid to try and break his stuff apart into tasks. I don't think he has any tasks out there, so they wouldn't show up on the board. He's being a bad boy .","NULL"
"710","As a site member, I want to download the latest training material and methodology PDFs, so that I have them.","F"
"711","As an NSF employee, I want to understand work performed, so that I can understand when and what I can use later.","A"
"712","If you've got the tab functionality other than the Conversation.","NULL"
"713","As a user, I want to upload my week's schedule, so that I can get recommendations for recycling centers that best fit my availability.","F"
"714","As a Staff member, I want to Process the Appeals, so that I can track the outcome and record the impact on the relevant records.","F"
"715","As a camp administrator, I want to keep track of the usage of internal camp facilities, so that I don't create conflicting schedules for the different camp groups.","F"
"716","There may be some little nuances to how the code works. Susan and I can do the actual education .","NULL"
"717","He just showed up.","NULL"
"718","As an owner, I want to remove a user as an owner, so that they are just a member and no longer have full control.","F"
"719","As a content editor, I want to be able to add videos from Brightcove.","F"
"720","As an owner, I want to be sure that USAspending only send grant records to my system.","A"
"721","As the site editor, I want to add an article to the site, so that the site has plenty of content.","F"
"722","As a user, I want the DUNS validations to accept records whose ActionTypes are B, C, or D and the DUNS is registered in SAM, even though it may have expired.","A"
"723","As a participant, I want to have a small thumbnail photo displayed near where my cards are played, so that the game is more personal because I see who I'm estimating with.","F"
"724","It's not really a new one. It's just a concern. I think we need to have a look at this. They had a meeting about this MapPoint and I didn't know there was a meeting. Three different people came to me, ""I spent 20 minutes there asking, 'Where do you use MapPoint? What do you do with it?'"" I said, ""What?"" Three different people are asking me. They had actually they are at the meeting and...","NULL"
"725","As a content designer, I want to demonstrate the value of user-centered content design to ensure it's an integral part of our recommendations.","A"
"726","As a tester, I want to ensure that FABS is deriving fields properly through a robust test file plus a follow up check.","A"
"727","You did that on purpose.","NULL"
"728","As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.","F"
"729","No. I'm on .","NULL"
"730","I'm getting a little loopy.","NULL"
"731","As a FABS user, I want to link the SAMPLE FILE on the ""What you want to submit"" dialog to point to the correct file, so that I have an accurate reference for my agency submissions.","F"
"732","No. It's the second part of that because I don't think we do. I want them to know it's not our problem.","NULL"
"733","They can spell their name.","NULL"
"734","As a site visitor, I want to see a list of all upcoming Certification Courses and can page through them if there are a lot, so that I can choose the best course for me.","F"
"735","As a team member, I want to know when meetings are, so that I can plan accordingly.","F"
"736","Are you logging is as CinBell?","NULL"
"737","As a Customer, I want to Request Inspection, so that a County inspector is assigned to perform an inspection of my project.","F"
"738","As a developer, I want to know what the three initial hypotheses are, so that I can plan work around development of prototypes.","F"
"739","As an employee, I want to get quick notifications, so that I can process cases the first time.","F"
"740","workflow, with everything underneath it. You click on Poles and then you've got your links to all the things you can do on the poles.","NULL"
"741","Side bar. Part of this, I'm going to talk with Michael about it. As far as the context switching, maybe we can talk about this in the next meeting, and continue onto this. Let's start thinking about this, but we, as a group, need to start doing a much better job at estimating.","NULL"
"742","As a Publisher, I want to know how many users have previewed a dataset, so that I know how interest in a dataset relates to its actual download numbers.","F"
"743","...that happens.","NULL"
"744","It would be right here.","NULL"
"745","As an owner, I want to make a user an owner, so that they have full control.","F"
"746","before follow it again, hours of testing .","NULL"
"747","As a broker user, I want the historical FABS loader to derive fields, so that my agency codes are correct in the PublishedAwardFinancialAssistance table.","F"
"748","I don't have anything on my list for Frontier this morning. Brian, did you have anything that we needed to ask them on this call, or do we need another call to talk about conversion?","NULL"
"749","we're not going to have the data until after the 2nd.","NULL"
"750","As a Staff member, I want to Perform a Staff Review, so that I can validate compliance of an application with the Zoning Ordinance and impact approval/denial of the application accordingly.","F"
"751","As a FABS user, I do not want DABS banner messages and vice versa, so that I have the appropriate information for my application.","F"
"752","Oh.","NULL"
"753","you and Larry and Kim think about that.","NULL"
"754","As a data user, I want to access two additional fields from the FPDS data pull.","F"
"755","As a camp administrator, I want to be able to schedule tasks/activities for a specific camp group, so that I can track each groups daily/weekly and monthly activities.","F"
"756","As a Developer , I want my domain models to be indexed properly, so that I can get validation results back in a reasonable amount of time.","A"
"757","Even worse, really high. See if anybody notices. I might do that, now that you said that . Whenever I get to the 90s, instead of it being issue number 90 it will be like 92. Or something.","NULL"
"758","","NULL"
"759","As a Staff member, I want to Track the Draft Proffers, so that I can preserve the history of draft proffer statements submitted by the Applicant.","F"
"760","Fuzzy Logic stuff.","NULL"
"761","Yes.","NULL"
"762","As a developer, I want to access an API from the website, so that I can integrate it and implement certain features in my own iOS application.","A"
"763","I thought Ron said he was going to call back .","NULL"
"764","You sure ?","NULL"
"765","As a designer, I want to have a style guide / design guide / content guide, so that we have a uniform way of delivering product.","F"
"766","No.","NULL"
"767","It's up to whoever's flushing the story out to determine whether or not they want to create stories for that, because even the stories can become epics if you break those down. Nothing prohibiting that.","NULL"
"768","As an Agency user, I want to be able to include a large number of flexfields without performance impact.","F"
"769","Don't worry, so I think we've","NULL"
"770","Not very happy about it. What about the people for that date?","NULL"
"771","As an Admin, I want to see key metrics about usage such as users, API usage, downloads, so that that I know how things are going.","F"
"772","Development hours, which aren't full days. That's at least got a task on there...","NULL"
"773","Exactly.","NULL"
"774","As an NSF employee, I want to know where the initial in-person meeting will be, so that I can plan on attending.","F"
"775","As an admin, I want to add recycling center information, so that I can keep the database up-to-date over time.","F"
"776","All right. Bye.","NULL"
"777","As a Staff member, I want to Assign a Hearing Date, so that I can present the application to the appropriate governing body within the timelines dictated by the relevant County rules and procedures.","F"
"778","As an owner, I want to remove someone from membership in my publisher, so that they no longer have ability to publish or modify my data packages.","F"
"779","We decided Baski was going to see if that was possible .","NULL"
"780","As an agency user, I want to use the schema v1.1 headers in my FABS file.","A"
"781","Anybody can leave.","NULL"
"782","As a Publisher, I want to version my Data Package and keep multiple versions around including older versions, so that that I do not break consumer systems when I change my datapackage.","F"
"783",".","NULL"
"784","Yeah, we've done it forever.","NULL"
"785","As an NSF person interested in attending user interviews, I want to know when they are scheduled and the type of user that will be interviewed.","F"
"786","That's perfect. I know my issue has been recognized.","NULL"
"787","As a CMS administrator, I want to have roles, so that I can assign them to my users.","F"
"788","That's right, it is.","NULL"
"789","As a moderator, I want to add an item to the list of items to be estimated, so that so that we can be flexible and accommodate situations where we think of a new story while playing.","F"
"790","We're getting a lot of calls from the techs, and I've been trying to email. It was 3/11. I am sorry, folks.","NULL"
"791","What the heck. Can't type.","NULL"
"792","As a site visitor, I want to view a section of the website that teaches me the basics of what Scrum is, so that I can learn that quickly.","F"
"793","As a company, I want to have a website that is easy to use, so that I can upload or delete stuff step by step.","A"
"794","Three. I'm thinking optimistically.","NULL"
"795","As a corporatesponsor, I want to make my logo randomly appear on the home page, so that others see the company's support of Scrum.","F"
"796","The login.","NULL"
"797","As a camp administrator, I want to be able to modify a group's information, so that I can keep the groups up to date.","F"
"798","As a site administrator, I want to edit any site member profile, so that I can correct problems for members.","F"
"799","Yeah.","NULL"
"800","As a designer, I want to have a new social media wireframe, so that I can begin implementing design.","A"
"801","I just sent it a few minutes ago. Let me see. I see...","NULL"
"802","As the site editor, I want to include a teaser with each article, so that site visitors can decide if they want to read the rest.","F"
"803","As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta site to it.","A"
"804","As a team member, I want to have a prototype strategy, so that I understand how we will gain understandings from tests that will drive recommendations.","A"
"805","Yeah. Today, for hardwire the screen has frame, but for plugs it does not.","NULL"
"806","As a Publisher, I want to add useful metadata or add in new data columns to make the dataset more useful.","F"
"807","Dang it. I thought it starts with a five. No, it's 0, 5.","NULL"
"808","and then he can mock up something.","NULL"
"809","As a Staff member, I want to Develop a Staff Report, so that I can publish and distribute the report according to business rules.","F"
"810","Took you about five days, max.","NULL"
"811","As a Developer, I want a Mongo integration, so that I can integrate data-packaged data with pipelines that use Mongo.","F"
"812","As a ResearcherGovernment Publisher, I want to add general country names to my dataset that only contains country codes, so that my dataset is more readable.","F"
"813","As a participant, I want to change my estimate as long as the draw has not been completed, so that I can change my mind.","F"
"814","We can determine at will whether or not the users are in versus .","NULL"
"815","As a UI designer, I want to move on to round 2 of the Help page edits, so that I can get approvals from leadership.","F"
"816","As a moderator, I want to get a password reminder by email, so that I can get back to using the application when I've forgotten my password.","F"
"817","As a Consumer, I want to see how much the data has been downloaded, so that that I can choose most popular in the case when there are several alternatives for my use case.","F"
"818","As an Owner, I want to design a schedule from the UI SME, so that I know the potential timeline of the UI improvements wanted.","F"
"819","As a camp administrator, I want to create an avenue so parents can submit feedback and general concerns, so that I can keep improving the services I provide.","F"
"820","Yeah, we don't have that. I'm just talking about the stories. So you're talking about putting all of our files there?","NULL"
"821","As a ResearcherPublisher, I want to understand the ways in which my data is invalid, so that I can know how to fix it.","F"
"822","As a publisher, I want to show the world how my published data is, so that that it immediately catches consumer's attention.","F"
"823","As a recruiter, I want to be able to extend an ad for another 30 days by visiting the site and updating the posting, so that my ad remains active.","F"
"824","We're attacking it from the opposite side. We're attacking it from the top down instead of the bottom up. Now I've got a placeholder for blah, and I need it to do blah really, really well, but I don't know what blah looks like yet.","NULL"
"825","Yeah.","NULL"
"826","He's been here.","NULL"
"827","As a participant, I want to always have the cards in the same order across multiple draws, so that it's easy to compare estimates.","A"
"828","As a site visitor, I want to read FAQs, so that I can get quick answers.","F"
"829","We could modify DC3 to maybe smooth out that process a little bit to where it's not as complicated, or streamline it. You can go either way. You're basically either...you've got to simplify the process in DC3 to only work at the frame ID level and strip out a lot of the...","NULL"
"830","As a Publisher, I want to store my data quickly and easily online.","A"
"831","Agreed.","NULL"
"832","As a user, I want to get feedback when I enter an invalid zip code.","F"
"833","As a Developer, I want an SPSS integration, so that I can integrate data-packaged data with pipelines that use SPSS.","F"
"834","As a Consumer, I want to view a Datapackage at a particular version online, so that that I can present/discuss the particular data timeslice of interest with other people.","F"
"835","In the Agile classes, we're always taught the user story, ""As a something-something user, I can do this,"" and we'll have a task that needs to be done to accomplish that as far as the development tasks go.","NULL"
"836","But it could have chose hardwire and plug, right?","NULL"
"837","I've got some ideas, but I want to run it past you three real quick.","NULL"
"838","As a Data Analyst, I want to compare different versions of some datapackage locally, so that that I can see schema changes clearly and adjust my analytics code to the desired schema version.","F"
"839","What you used in training, everything, as far as I know, works that's there already. I just have to put it in production.","NULL"
"840","As a Staff member, I want to Send or Post Citations and Fines, so that I can successfully send the Notice Of Violation document to the property owner and log information about the action.","F"
"841","As a Mike, I want to be able to see some metrics on use of the game, so that I can see how much it is being used.","F"
"842","As a team member, I want to know what the first hypothesis is, so that I can start developing a prototype to test.","A"
"843","As a DeveloperWrangler, I want to use a command line tool that allows met to validate data, so that I can feel trust in the validity and usefulness of the data quickly and in the context of my command line workflow.","F"
"844","Yeah. I can do that, going to get things going. You said David installed that, or who installed that for you?","NULL"
"845","You probably...","NULL"
"846","We may be able to just take the first 11 or 13 of it and have the rest of it in something else, and they would send over the raw location code coaching on our part. There's only three options.","NULL"
"847","They were good.","NULL"
"848","As a trainer, I want to load an Excel file into the site, so that the course participants are added to the Scrum Alliance records.","F"
"849","As a ResearcherPublisher, I want validate my data with a minimum of clicks, so that I can feel trust in the validity and usefulness of the data.","F"
"850","As a camp administrator, I want to be able to make nametags faster, so that I don't have to spend two hours making 200+ nametags","A"
"851","As a user, I want to view all locations of recycling centers on a map, so that I can check which routes to take to drop off waste.","F"
"852","As a FABS user, I want to make sure the historical data includes all necessary columns, so that the information in the database is correct.","F"
"853","That was from CTDI what they got from Afinium? We're talking the same thing, right?","NULL"
"854","As a participant, I want to see who gave what estimates during the current round, so that I know this when we’re discussing the estimates.","F"
"855","As a broker team member, I want to make some updates to the SQL codes for clarity.","F"
"856","Does LCAM store the clause?","NULL"
"857","Because during the last four iterations of testing, now I'm starting to plan out the next release.","NULL"
"858","As a Developer, I want the data loaded from historical FABS to include the FREC derivations, so that I can have consistent FREC data for USASpending.gov.","F"
"859","Yeah.","NULL"
"860","As a camp administrator, I want to be able to delete parents from the database, so that I can keep my pages free of unneeded clutter.","F"
"861","Zillow you've got the buy, sell, rent, zestimate. You could literally almost come in and say, ""I'm an attacher.""","NULL"
"862","Mm-hm. Look at the paper. It's super cool.","NULL"
"863","As a site editor, I want to maintain a FAQ section, so that support gets fewer easily answered questions.","F"
"864","The problem is, TFS...","NULL"
"865","As a potential research participant, I want to learn about the research and leave my contact information.","F"
"866","Microsoft, they came up with...what is it called? Local DB. SQL Express is its own Window service that runs as an entirely separate Windows service. They have a version called Local DB which is a process. When your program connects to a local DB database it's not a Window service that's already running in the background, but it kicks off an even more stripped down version of SQL Server that runs as just a plain old process.","NULL"
"867","Is that how they spell tolerate? Is it right?","NULL"
"868","When you login on the mobile device all you see are the tiles. Once you click the tile that's when it brings up whatever you put it in. On a mobile device you can't have it to where you just logon and it , you have to know what you're searching for.","NULL"
"869","Yeah, Susan, no rush on the email I sent yesterday for the change request. I know they want to take their time and do it right and give as correct an estimate as possible. We did our best-guess scenario, and that's all we could do. I wanted to let you know not to have to push that through faster than they wanted to do it.","NULL"
"870","What about that?","NULL"
"871","As an author, I want to be able to indent / outdent content.","F"
"872","OK, Grady's got generate report data.","NULL"
"873","As a Developer, I want to prevent duplicate transactions from being published and deal with the time gap between validation and the publishing decision.","A"
"874","As a site member, I want to send an email to any member via a form, so that we can connect.","F"
"875","As a FABS user, I want to download the uploaded FABS file, so that I can get the uploaded file.","F"
"876","All right. Tuesday is not great. Wednesday is better. I can do Tuesday, and split it. I can do...well. Why don't we do 1:30? I've got to run, so that's the most important thing. Just kidding. That's why he thinks, schedule a 12 o'clock meeting ruins our whole day. We can do this, 1:30...we're going to an hour and a half tomorrow,or do we need to do it in the morning?","NULL"
"877","I haven't seen it on my desk though.","NULL"
"878","As an Applicant, I want to Complete Building Development Project, so that I can receive any posted bond and/or obtain occupancy.","F"
"879","If everybody else had a task in here, you would have a burn-down chart here. It will start showing you... OK. Here's all the tasks that you have. It adds up the hours and what's left, and she'll start burning down. It doesn't always look like that. Any questions?","NULL"
"880","I've already got the data in place?","NULL"
"881","As a Repository Manager, I want a tool that makes it easy for researchers/ users to add basic metadata to their research data, so that it is more findable and therefore useful.","F"
"882","My God.","NULL"
"883","As a team member, I want to know what visual design related tasks we might need to plan for this sprint, so that I can assign tasks as necessary.","A"
"884","As a website user, I want to see updated financial assistance data daily.","F"
"885","As a parent, I want to be able to see and edit my enrolled children to the camp year, so that I can know who I already enrolled to camp, who is still pending admission etc.","F"
"886","As a Developer, I want to get a Data Package into Julia in seconds, so that I can start using the data in doing analysis and visualizations.","A"
"887","As a developer, I would like to create a web socket protocol for Frictionless data tools, so that I can easily use data packages with additional data analysis tools.","A"
"888","I did find several locations that seemed to be where the primary account was, a 12, 20, 6, 10, which is the new, right? One of them was the RDC, which was in there, which looked like it was grapevine...Something like that.","NULL"
"889","He's been there. He's seen it.","NULL"
"890","As a user researcher, I want to conduct a user definition workshop with NSF, so that I can better prepare them and the team for future research work.","A"
"891","As a site visitor, I want to know as I glance around the home page what on earth a CSM is and why I'd want to be one, so that I read more.","F"
"892","As a Developer, I want a DAT integration, so that I can integrate data-packaged data with pipelines that use DAT.","F"
"893","As a site editor, I want to set start publishing dates, old article date, and stop publishing dates for articles, so that articles appear only during appropriate periods.","F"
"894","As a FABS user, I want to see correct status labels on the Submission Dashboard, so that I can quickly see my submission history.","A"
"895","As a Publisher, I want to be warned that a tag exists when I try to overwrite it, so that that I don't accidentally overwrite stable tagged data which is relied on by consumers.","F"
"896","I can't do it, but...","NULL"
"897","As a Publisher, I want to validate the data I am about to publish to the registry, so that that I publish good data and know that I am doing.","F"
"898","As an Applicant, I want to Satisfy Hearing Requirements, so that I can ensure all pre-hearing requirements are satisfied in time for the hearing.","F"
"899","On what CLLI ?","NULL"
"900","As a developer, I want to have the site comply with the W3C accessibility guidelines where possible, so that people with accessibility issues can use the application.","A"
"901","I said it before, I'm not a data guy, but I play one on TV. I did stay at Holiday Inn Express last night.","NULL"
"902","Hey, it's Larry. Larry.","NULL"
"903","Yes.","NULL"
"904","","NULL"
"905","What was that, Jim?","NULL"
"906","There it is. All of this has my name on it. Let's see what Kevin . Yeah, he's supposed to test that and...","NULL"
"907","As a site member, I want to search for profiles based on a few fields, so that I can find others I might want to connect with.","F"
"908","Don't want it to get lost.","NULL"
"909","As a team member, I want to have a prioritized list of features and elements of a future social element page, so that I can work with the engineers to determine feasibility.","A"
"910","As a site admin, I want to stop publishing jobs on the site 30 days after being posted, so that jobs that may have been filled aren't still listed when the hiring party forgets to come back and delete the ad.","F"
"911","As a moderator, I want to log in using my account name and password, so that I can start using the application.","A"
"912","As a superuser, I want to reply to user questions, so that I can answer any questions about my recycling center.","F"
"913","As a Staff member, I want to Capture a Hearing Decision, so that I can enforce the system.","F"
"914","I'm not 100 percent with what we've got.","NULL"
"915","We as a group have caused a lot of our need to do context switching, because we oftentimes aren't done when we say we're going to be done. For whatever reason that is, and then we end up in a bind because we can't wait until we're done with something before we say we can...We have to keep things in the queue, in the schedule. Maybe next time, be thinking about that.","NULL"
"916","OK.","NULL"
"917","That's it for me, too.","NULL"
"918","Right now you cannot retire inventory equipment. You have to move it to in service and then retire it. This one I remember, because I asked him about this 166. I sent him a bazillion emails on it. I remember, when I finally understood it. It makes perfect sense...","NULL"
"919","As a user, I want to be able to create an acocunt, so that I can create my own profile.","F"
"920","Do you know which report she was running?","NULL"
"921","How's your stuff coming? I know there's been several emails going back and forth.","NULL"
"922","As a camp administrator, I want to be quickly log attendance everyday, so that I can track which kids are coming in.","F"
"923","For that particular project, you guys...","NULL"
"924","Hi, who's on the call?","NULL"
"925","Oh yeah, I forgot about that. We can't really start it until eight o'clock anyway, based on our stop timeline event, which isn't until seven. Grady, you might want to take half the day off tomorrow, since you're going to be working half the night.","NULL"
"926","OK, thanks. We'll talk to you guys later.","NULL"
"927","Then for the IBT group that we were trying to target, most critical thing, what's coming up and biggest holdback is SCC scan error correction screen. First request, , go to the active logs . We're finding everything. Narrow those certain criteria. With project-related, OK.","NULL"
"928","As a camp worker, I'm able to report necessary repairs to the manager that the camp is needed of.","F"
"929","As a camp administrator, I want to be able to modify the information of added parents, so that I can keep parent's information up to date.","F"
"930","As a parent, I want to be able to see a schedule of the activities my children are involved in at camp, so that I can be more informed as to what they are doing at camp.","F"
"931","As an Inspection Supervisor, I want to Manage Inspector Workload, so that I can meet service level and quality requirements.","F"
"932","As a site visitor, I want to know as soon as I visit what on earth Scrum is and why it needs an alliance, so that I don't bounce immediately oﬀ the page.","F"
"933","As an agency user, I want the maximum length allowed for LegalEntityAddressLine3 to match Schema v1.1.","A"
"934","But they're all, I mean your Acura...","NULL"
"935","As an Applicant, I want to Submit Application, so that I can provide my information, plans and/or documents to initiate a transaction with the County.","F"
"936","As a broker team member, I want to derive FundingAgencyCode, so that the data quality and completeness improves.","F"
"937","As a member, I want to have the system email me a new password or a password reminder since i have short-term memory problems.","F"
"938","As a team member, I want to have a high-level sense of the project timeline, so that I can plan my work.","A"
"939","As a moderator, I want to accept the average of all estimates, so that we can move on to the next item when we agree.","F"
"940","As a camp administrator, I want to be able to add campers, so that I can keep track of each individual camper.","F"
"941","action. I can see the entities, I can see the contacts. I can sign in. Although there should be stories listed under there.","NULL"
"942","As an Admin, I want to invite someone to join the platform, so that that they can start contributing or using data.","F"
"943","As a trainer, I want to see the upcoming courses are what I want visitors to notice, so that they register and there's a benefit to my membership.","F"
