"id","req_specification","class"
"1616"," The field does, and this is who it's for. It's for a Williams, Bill Williams, I believe it is. He's a team leader of the techs in the field. They do it once a month. They go into their maintenance containers, and they reconcile what's in their maintenance against what LCAM says is supposed to be in their maintenance.","NULL"
"1617"," Except that they're behind.","NULL"
"1618"," Well, this I just like...they get time allotted. The techs get time allotted to do this so it's only now in my view they're making these containers. It's not everything, just that. They go in.","NULL"
"1619"," I think right now they're printing off their inventory files and just doing a manual check off of, yes, this is what's in there, no this is...They want an easier, quicker way of doing it, and also using the cycle counts feature to do it.","NULL"
"1620"," So in LCAM they're...yes, OK, so that's why I wanted to talk to you guys, because this sounds like we could possibly let them use DC3 to do this functionality.","NULL"
"1621"," That's what I was wondering.","NULL"
"1622"," But it won't be the CinBell DC3 that they have currently because that's warehouse, and it expects you to do the whole  . It's not at the container level. So maybe do we need...?","NULL"
"1623"," You probably need Patrick for that.","NULL"
"1624"," Let me see if I can get Patrick. I'll be right back.","NULL"
"1625"," Patrick's our DC3 expert. It's his baby.","NULL"
"1626"," Yes. He showed me when I first got here a little bit.","NULL"
"1627"," He's very protective of it. That's my opinion.","NULL"
"1628"," This would mean that DC3 would need to be loaded on those techs' laptops?","NULL"
"1629"," That's what I'm thinking, and maybe is that what you're thinking, too?","NULL"
"1630"," I don't know how they use DC3. It guess so.","NULL"
"1631"," When you all did the warehouse...","NULL"
"1632"," You were there, weren't you?","NULL"
"1634"," And today they're not doing them in LCAM. They just go off and...They print off their inventory and then they checklist it as they're doing their cycle count.","NULL"
"1635"," Patrick's here.","NULL"
"1636"," The thought of having Kevin Smiley's thought with the wireless is that they can take a laptop over to their storage cabinet and scan, and it'll talk to...or if they have a desktop, it can talk wirelessly.","NULL"
"1637"," They've got the scanner. They can have their cycle count up and scan the stuff in. That stuff sounds more like DC3, which I did have that thought when I was talking to him about it. I don't know why I didn't invite you to this meeting. My bad.","NULL"
"1638"," If you wanted to do a cycle count that was entirely on the web side of things it's basically like what you're talking about doing a bay audit where you just take the raw data from somewhere, dump it into LCAM, look at it up there, make your adjustments, and then push it through that way.","NULL"
"1639"," You could also do that entirely on DC3. Right now it only works at the  level so you'd have to adjust it to where it would only narrow down to a particular frame ID. The challenge there is that with the whole recon process that's there it's a little bit overkill in a sense.","NULL"
"1640"," Yes, and this is like techs in the field doing it. The learning curve could be huge.","NULL"
"1641"," They can spell their name and that's about it.","NULL"
"1642"," ","NULL"
"1643"," What did he say?","NULL"
"1644"," They can spell their name.","NULL"
"1645"," Say how you really feel  . ","NULL"
"1646"," I'm saying it, that's how it is.","NULL"
"1647"," He's been there. He's seen it.","NULL"
"1648"," We could modify DC3 to maybe smooth out that process a little bit to where it's not as complicated, or streamline it. You can go either way. You're basically either...you've got to simplify the process in DC3 to only work at the frame ID level and strip out a lot of the...","NULL"
"1649"," The recon process is for the whole location, and it's pretty granular as far as being able to make adjustments as you go along so you get the whole inventory for the whole office just right before you actually push the button to pump it back into LCAM.","NULL"
"1650"," The plus side about that is you use laptops and just simple, inexpensive 2D barcode scanners that you already have to do all that if they wanted to do the bay audit kind of a thing. There was a cycle count function in there at one point in time, right?","NULL"
"1651"," It's still there. How does it work? I'm sorry, I've just forgot?","NULL"
"1652"," How do you put information into it?","NULL"
"1653"," Does it stop it from sourcing when you say you're doing a cycle count?","NULL"
"1654"," No, you're talking warehouse. Warehouse cycle count is different from the field.","NULL"
"1655"," I don't think I ever tested the field cycle count. How does it work in LCAM?","NULL"
"1656"," You just go to that page and say you were doing a cycle count for this  . I don't know if it's  end bay. I think it is,  end frame.  end frame, and then you just say, ""OK, I've got eight of these plugs, nine of this one.""","NULL"
"1657"," Do you just key it all in, basically?","NULL"
"1658"," Just key it in. You scan the  , and then you put a count, basically.","NULL"
"1659"," Ah, so this. It looks like I've got 12 of these.","NULL"
"1660"," Then it adds it to the list. You keep doing that until you...","NULL"
"1661"," Will this take scanning information?","NULL"
"1662"," Yeah.","NULL"
"1663"," How do you scan it? Do you just have a really long cord to go from your computer, or do you use a laptop?","NULL"
"1664"," You use a laptop and the tethered scanner.","NULL"
"1665"," With WiFi or something?","NULL"
"1666"," Yes.","NULL"
"1667"," Go ahead and finish what you're saying.","NULL"
"1668"," I don't know what I was saying. Once you do that you hit submit, and then it brings up a screen for you to reconcile them.","NULL"
"1669"," If I hit submit here, it's going to give me a bunch of crap.","NULL"
"1670"," You in production?","NULL"
"1671"," Now. Request web post data. Don't do that to me, David.","NULL"
"1672"," You did that on purpose.","NULL"
"1673"," It says test at the bottom.","NULL"
"1674"," It doesn't matter.","NULL"
"1675"," Are you logging is as CinBell?","NULL"
"1676"," No. I'm on  .","NULL"
"1677"," That really doesn't mean anything. It used to put a file on the FTP server, but now if you go back to...","NULL"
"1678"," ","NULL"
"1679"," You've got to remember what  you use...","NULL"
"1680"," Process?","NULL"
"1681"," Yes.","NULL"
"1682"," What the heck. Can't type.","NULL"
"1683"," I don't think you need that. You maybe do. I don't know. Just hit fine. There you go.","NULL"
"1684"," So you go to...","NULL"
"1685"," Yes.","NULL"
"1686"," And then it tells me, ""This is all the stuff you have. I'm going to talk it all away because you didn't give me anything but D4 D4 SB.""","NULL"
"1687"," The easier thing to do is have Data Collector. The previous screen do something similar in Data Collector and then do a web service call. I don't know what that XML file is, if that's anything.","NULL"
"1688"," I don't even think it's reading it.","NULL"
"1689"," There's a table count in there so let's add a web service call that allows DC3 to manipulate that one table, and then after they upload their cycle count into LCAM from Data Collector they'd go to this same screen and keep going.","NULL"
"1690"," Do their reconciliation.","NULL"
"1691"," I have a couple of questions. When they're doing this cycle count can the equipment be moving behind the scenes?","NULL"
"1692"," Can it be moving? What do you mean?","NULL"
"1693"," Like are you preventing anything?","NULL"
"1694"," No.","NULL"
"1695"," OK.","NULL"
"1696"," The point is they're dealing with one frame ID. They need to take a Post-it note and stick it on the front of there saying, ""Don't touch.""","NULL"
"1697"," Here's the other issue that CinBell is dealing with, and the reason that DC3 may actually be a better solution is a lot of these sites they don't have WiFi at, and they don't have LCAM.","NULL"
"1698"," They just started having these meetings so Smiley is offering them, or discussing a couple of proposals. He's like, ""You all need to put in WiFi at all these locations so that they can get to somewhere where there's LCAM. That's $500 a pop to put in some kind of WiFi connection at all these sites that don't have them.","NULL"
"1699"," But if they can do DC3 they don't have to have it, right? They can start somewhere where they have WiFi and say, ""I'm going to do this when I get there."" When they go there they can do it, come back.","NULL"
"1700"," That has been the only reason that we've ever continued to mess with client applications on a laptop so that you can do stuff like that without an Internet connection otherwise I'd be out of a job, probably.","NULL"
"1701"," We need to give a proposal back to them that's a win/win for everybody.  Where's the Kool-Aid? I'm drinking it.","NULL"
"1702"," If we add a web service call so that DC3 can populate this screen from data that has been collected on the laptop throughout the day then, yes, they could manage this process bay by bay using this.","NULL"
"1703"," Now if they're doing the entire  then they would run it as a full-blown inventory.","NULL"
"1704"," Yes, and at this point they're strictly talking about these cycle counts. Their field people are trying to find a way to make it quicker and easier for them to do their cycle counts.","NULL"
"1705"," I need to add a function in DC3 to let them create a new task just locally for a bay and a frame. We'd need to add a web service call in LCAM for DC3 to be able push that data up to this table here.","NULL"
"1706"," I'd say both of those you could do that, and you could do that in five days. That's the happy path. I don't find anything else along the way.","NULL"
"1707"," Five days.","NULL"
"1708"," Total.","NULL"
"1709"," Total, OK.","NULL"
"1710"," Both for DC3 and for LCAM.","NULL"
"1711"," This has got to be cheaper than buying wireless scanners.","NULL"
"1712"," Oh, yeah, because you're going to have to do the exact same thing with the wireless scanners. The thing that people don't realize about wireless scanners is it's basically you have to make a whole new app to run inside of them. It's a Windows mobile device just like that conduit thing unless you...","NULL"
"1713"," Now there are some off the shelf ones where they will gather just dumb barcode scans, and it'll output them, but at that point none of it's validated. What if they scan a manufacturer's serial number instead of the  or something like that?","NULL"
"1714"," That's the other half of why you deal with laptops out in the field, because you can validate against the catalog while you're standing in front of the thing as opposed to I've gathered a pile of barcodes. Now let's try to do something with it, right?","NULL"
"1715"," Caleb, do you know do all the field techs have laptops or not? Do you know?","NULL"
"1716"," They used to not, no. The COs have their dedicated work stations, things like that for LKM and everything. They have tablets of some sort, I believe, the techs do, but central office technicians I don't think, and I may be wrong, but I don't think that they all have their own individual laptops.","NULL"
"1717"," Are there enough floater owner laptops around to where if a tech needs to go out and say, ""Hey, I need to spend an afternoon doing these cycle counts,"" he could get one?","NULL"
"1718"," I'm sure they could find some along the way, but once again there's like a Kevin Smiley question. To me I think they just wanted to have login in to LCAM and click the cycle count function button on there and then a have a cordless, wireless scanner be able to talk to LCAM just let them do the function directly into LCAM.","NULL"
"1719"," Yeah, but part of the problem with that is they don't have WiFi at all of the locations so their wireless scanners would not work to connect to LCAM at those locations. There's a couple of issues that they're trying to solve.","NULL"
"1720"," Right. Kevin, he talked to me about it as well.","NULL"
"1721"," Go back to that first screen. The problem there is at that point you're back to the problem of just a dumb scanner clicking barcodes. If you programmed the scanner just right you could set it up to where they just blindly scanned the  . They wouldn't be able to adjust any quantities so if they had 50 of something on the same shelf they'd have to scan the barcode 50 times.","NULL"
"1722"," What does that do?","NULL"
"1723"," It just...","NULL"
"1724"," It should combine them when you...","NULL"
"1725"," Do you tab or enter key?","NULL"
"1726"," It's a tab.","NULL"
"1727"," It's a push tab.","NULL"
"1728"," Yes.","NULL"
"1729"," Now do the same one again and then tab.","NULL"
"1730"," I think when you...","NULL"
"1731"," So here now what happens?","NULL"
"1732"," That was what Smiley was trying to bring up to them even with wireless scanners someone's got to be wherever to handle this.","NULL"
"1733"," And that's the problem. OK, so now you're back to you need validation, which means you need a smart scanner, which means you need an app that is specifically coded for that smart scanner, and at that point you're talking about something that costs more than a laptop and tethered 1D USB barcode scanner.","NULL"
"1734"," You're talking back porch now. ","NULL"
"1735"," What do you mean?","NULL"
"1736"," Barcode from porch...","NULL"
"1737"," Exactly.","NULL"
"1738"," Then we'll have side shift.","NULL"
"1739"," If you want validation then, OK, you need a smart scanner which is expensive and cumbersome programming-wise or you need a laptop.","NULL"
"1740"," Yes, and if they do it with offline scanners then that's a huge change for LCAM. It's way more than five days' work if they go with offline scanners.","NULL"
"1741"," You're building an entirely new app. That's what it amounts to, which back in the day that's how you used to do inventories, and it eventually got to the point where a laptop and a tethered scanner is cheaper and easier.","NULL"
"1742"," OK.","NULL"
"1743"," OK, so that's the validation problem, and then the other problem is connectivity. That's, again, why a laptop deals with that one.","NULL"
"1744"," I think that we should just, Susan and us should just go back to Kevin and tell him that DC3 can...modify DC3 with a tethered scanner would be the most feasible and cheapest way to go to be able to do what they wanted to do.","NULL"
"1745"," Yes, that's what it sounded like to me, too. That's why we're having this meeting is to decide what's...because what they actually want to accomplish is to be able to do their cycle counts quickly and efficiently and cheaply, because nobody wants to spend money they don't have to spend.","NULL"
"1746"," If we can modify DC3 and LCAM so that they can do that, as long as they can provide the laptops and it doesn't have to be a dedicated laptop. They can have a pool of laptops that have DC3 loaded on them that the techs go pick up when they're going to go do their cycle count, and then turn them back in when they're done or whatever.","NULL"
"1747"," One of the other things to maybe put on there is you could probably put another five days on there. One thing I want to do is change the database that it runs in. Right now it runs off of SQL Express, which is basically installing a small version SQL Server on the laptop itself.","NULL"
"1748"," Microsoft, they came up with...what is it called? Local DB. SQL Express is its own Window service that runs as an entirely separate Windows service. They have a version called Local DB which is a process. When your program connects to a local DB database it's not a Window service that's already running in the background, but it kicks off an even more stripped down version of SQL Server that runs as just a plain old process.","NULL"
"1749"," The installation for that is a lot easier. If you've ever done a SQL Express install it's this big old long thing. It still is a separate Microsoft install, but it's more like you're installing a PDF viewer or just some old plain utility app.","NULL"
"1750"," It's a lot easier install. It's a lot smaller footprint on the computer, and it's not a Windows server that's constantly running. It only spools up after you start Data Collector and start using it that way. That's one of the things that's on the list.","NULL"
"1751"," We could make it work, but it would force them to do a full-blown SQL Express install if they wanted to use it this way. That's just something else that I wanted to do especially for this case. If they say, ""Hey, we need a laptop to do this thing,"" well, they would need this local DB set up and DC3 setup, and it would be maybe 10 minutes' worth of installing as opposed to...","NULL"
"1752"," Like the half a day it took to get one of those...","NULL"
"1753"," Yeah, so that's the thing, too, is you could have an end user do a SQL Express install, but it's pretty...it's scary-looking for them, right?","NULL"
"1754"," Yeah.","NULL"
"1755"," That's one of the old technical thing to throw in there.","NULL"
"1756"," That's good to have. That would be like another five days.","NULL"
"1757"," I call it five days, yeah. Around five days to implement that.","NULL"
"1758"," So those are valid estimates I can give them?","NULL"
"1759"," Sure. They're ballpark. If we're just...","NULL"
"1760"," If we were going with a not too exceed estimate would you make it even bigger?","NULL"
"1761"," My numbers tie then.","NULL"
"1762"," Of what I know before actually diving into it that's what it feels like.","NULL"
"1763"," OK. It's only because I'm going to give it to them so I don't want it to come back.","NULL"
"1764"," If you want not to exceed estimates, double it. If you want not to exceed estimates double it, but that's just random padding at that point.","NULL"
"1765"," I prefer to come in under.  Either way, if we wind up going over they're still not going to pay over five if I tell them five so that's where my question is coming from.","NULL"
"1766"," Unless they want to count this as their maintenance stuff. They get maintenance points, right?","NULL"
"1767"," We were having this discussion about what's covered in maintenance.","NULL"
"1768"," They get maintenance but I don't know what...","NULL"
"1769"," How much?","NULL"
"1770"," I don't know how much or...what's considered maintenance to you?","NULL"
"1771"," I can take all of this stuff to Darrell and to Brett and discuss what's considered maintenance, what could be...","NULL"
"1772"," I thought the license included X number of days of just development work, not a lot, but...","NULL"
"1773"," And I honestly don't remember.","NULL"
"1774"," Can they do the buy of DC3?","NULL"
"1775"," Do what?","NULL"
"1776"," Did they buy DC3?","NULL"
"1777"," Yeah.","NULL"
"1778"," They did.","NULL"
"1779"," They bought it.","NULL"
"1780"," For the warehouse. ","NULL"
"1781"," They bought it. It's theirs, so if they want to spend some maintenance points or some money to enhance it to do this other thing it's theirs to use. You can tell Kevin, too, look, that extra five days is to give you the autonomy to be able to do this on your own otherwise you're going to have to get IT involved.","NULL"
"1782"," I guess the other thing you can mention to Kevin Smiley is one of the things we ran into while we were up there is there's a difference between laptops that lived inside of their corporate network that were really tightly controlled, and had a bunch of security stuff that gets preloaded on it and everything.","NULL"
"1783"," You could run on a laptop that's outside of the corporate network but you'd need the VPN client. To be able to talk to LCAM you'd have to run a VPN client to make that connection, and if you have...","NULL"
"1784"," For example, our Alden laptops are an example of that. I could bring it in there. I had access to the public Internet from their network in the warehouse. It would get me to the public Internet, but I couldn't get to LCAM itself until I ran the VPN client, like we do here.","NULL"
"1785"," If they're outside the corporate network then they need the VPN client to run LCAM on the laptops.","NULL"
"1786"," To talk to LCAM on the laptop.","NULL"
"1787"," OK.","NULL"
"1788"," If they wanted the most autonomy running something like that give us the five days so we could use this local DB thing. It'd be a lot easier for an end user to install. Run a laptop that's outside the corporate network so they have admin and access to it to do the installs, and then you could talk to LCAM with VPN. They should be able to do it that way.","NULL"
"1789"," OK. I think that gives us enough to go back with a proposal to Kevin, which actually that proposal will probably wind up coming from Brett because when money's involved it's supposed to go through Brett unless it's part of a release, and what we're proposing would not be part of a...I mean we would have a release for it, but the DC3 part of it...","NULL"
"1790"," Ask Darrell if there's an option for him to spend maintenance points on it.","NULL"
"1791"," Yeah, that's what I need to do is get with Darrell and Brett and go, ""What are they paying us this license fee for? What does it cover?"" Because I don't know, and I need to know. All right. I think that's it.","NULL"
"1792"," Thanks everybody. Talk you later, Caleb. Bye.","NULL"
"1793"," Are we making changes, get the new view, new view model, and even if you want to start making the changes to taking out the reference to the old user control...","NULL"
"1794"," That will temporarily break it, right?","NULL"
"1795"," Yeah.","NULL"
"1796"," Until we get the new look.","NULL"
"1797"," If you get familiar with XAML, you could split the screen, and put two controls side-by-side. It's going to reduce our real estate on the screen and stuff, but you could split it, split the two columns and put each control in there, and see if we can get them side-by-side might actually be useful for testing, and comparison, and such.","NULL"
"1798"," That's a good idea, maybe that.","NULL"
"1799"," Then you can slowly move one function over at a time.","NULL"
"1800"," That's a good idea. Easy peasy.","NULL"
"1801"," I'm going to have to check these changes in though, too, so you will have them.","NULL"
"1802"," I'll just get recent...","NULL"
"1803"," Yeah, give me the latest version.","NULL"
"1804"," OK.","NULL"
"1805"," I'll do that. Let me get back to my desk, compile a few times, make sure I haven't broken anything, and then I'll check that in and make sure there's no...I'll make sure the application... make sure it still runs. OK, I'll go and check it in. I don't have any TFS, I have to check it in again so I'll see if we have anything to check it in. Have you done any of that yet?","NULL"
"1806"," Done what?","NULL"
"1807"," Have you checked any code in whatsoever?","NULL"
"1808"," No.","NULL"
"1809"," That's OK, it might be worthwhile. All right, so it's got the two changes, that is. Ouch, the project change. I'm sorry. That's it. How would I do this? Alright I take everything and exclude it first, so that I don't accidentally check any of this other stuff in. It's got stuff all over. All right, here's our current project. I'm just going to include that, include that, include these two items. That's it, and update it.  I don't know why they changed. It's probably part of the stuff I was doing  .","NULL"
"1810"," OK, that's just the change we made today, listed there. Typically, I would add, if I work at them ID, so whatever task I might working on, I would add it here. I don't have a task yet, I don't think.","NULL"
"1811"," I know what project this is.","NULL"
"1812"," I think I might have one that sounds really good.  .","NULL"
"1813"," OK, I don't know if it's the... I have one of the collectings.  , and then we'll start with a generic button. OK, here we go,  3.0replacing that point,  collect integration, that's what we're working on. OK, I can add a task.","NULL"
"1814"," We create teller control  model. It shouldn't take us too long but I'll put one hour to half an hour on it, probably another half hour of waiting on it to clean it up and make sure we didn't overlook anything. Two hours estimate, half hour spent on it. We'll put an hour on it just in case. Have you done any of these? Have you created any...?","NULL"
"1815"," Task or anything?","NULL"
"1816"," Task or anything like that?","NULL"
"1817"," I have not, so this is a good walk through.","NULL"
"1818"," Anything you're working on we're going to mark it as development. I'm going to assign this to you. That's basically it. Make sure it's got your name on it. Make sure you got activity and development. You've got an estimate, any time that you've actually put on it, and a remaining. It should add up. You would normally put some description in here, what you're actually doing. This is pretty self explanatory.","NULL"
"1819"," If we were both working on this kind of task, we might put some notes, too, that we might share between each other. You can add task notes, emails, and things like that. Now we have a task.  . We always assign any task as new. It comes in as new. I'm going to go ahead and move it to active because we worked on it. Now it's active. Work has started. That's all we need to check in code against it. That's 18591. I'm coming in here and check code against it.","NULL"
"1820"," It's going to want to send it to resolved. I'm going to associate it. Unless you're totally done with that task, I would always associate it. Associate this code set, or whatever it is, change set. I don't know... Check in this change set against that ticket. It's going to associate with it. You can go in and see all the change sets associated with that item however many times we check it in.","NULL"
"1821"," If we mess up at some point, it will help us track back to what happened, where did it go wrong, and things like that. Make a quick note on here about why I'm checking this in.","NULL"
"1822"," I think that's it. Everything you check in should be associated with a task, if at all possible. In fact, I haven't run across too many situations where we don't have a task to associate it with. That's it. We check that in and  . Change set, it's got that listed so I can go in.  change sets. Anyway, we do have a task. That's your name associated with it. We checked in code against it. Any more time that you spend on this particular task, you can do that and also add another task for updating the... .","NULL"
"1823"," That shouldn't take too terribly long. Put an hour on it. The product managers, before every planning meeting, before every stand-up, they want you to have your task out there. Every story should have your task associated with it, and every task should have some hours on it.","NULL"
"1824"," That's what they're expecting, every time you go to a stand-up meeting. That helps them. You just have some of the managed projects. It should be a lot shorter, because all you're going to say, do you have any obstacles in your way from getting this work done, or anything like that, and have you updated your time.","NULL"
"1825"," You can adjust this. Our estimate may be way off, but you can leave that the same. That helps us gauge  spread this to many. Then just keep track of how much time you actually spend on it. Each  . We're going to have several other tasks as we come across...tomorrow we'll come up with several other tasks.","NULL"
"1826"," This will be the basics. Have the basic view of  created. We're going to unhook the current control. Put the new control in. Then we'll start actually replacing some of the implementation of whatever's happening on the map itself. If we need boundaries, or anything else.","NULL"
"1827"," If everybody else had a task in here, you would have a burn-down chart here. It will start showing you... OK. Here's all the tasks that you have. It adds up the hours and what's left, and she'll start burning down.  It doesn't always look like that. Any questions?","NULL"
"1828"," No, I don't think. This is good.","NULL"
"1829"," Was this productive?","NULL"
"1830"," It was very productive. I haven't worked on anything to actually use this yet, so it's good to know.","NULL"
"1831"," OK. Because I just wing it. I haven't looked at the code, and now I just went with it.","NULL"
"1832"," I'm pretty comfortable with the code at this point. I have no idea of the TFS stuff, so it's good to see.","NULL"
"1833"," Well, that part I do know. The code I don't. TFS I know.","NULL"
"1834"," Cool. Then we both kind of make it.","NULL"
"1835"," We'll work it. Just make sure, if you get the latest, if it shows up, if it doesn't, let me know. Then we'll schedule...Before we finish, we do need to look at the calendar to see when some time...larger block in.","NULL"
"1836"," DuChock. What part of town did you grow up in?","NULL"
"1837"," I actually grew up in Texas.","NULL"
"1838"," Texas, OK.","NULL"
"1839"," My family is from Ireland.  .","NULL"
"1840"," I grew up in... DuChock.","NULL"
"1841"," Who?","NULL"
"1842"," I just remember the family's last name. St Mary that I grew up in.","NULL"
"1843"," Where did you grow up at?","NULL"
"1844"," Just this area Birmingham.","NULL"
"1845"," We were scattered all over. One of my little cousins went to high school here when I was living in Texas.","NULL"
"1846"," All right. Tuesday is not great. Wednesday is better. I can do Tuesday, and split it. I can do...well. Why don't we do 1:30? I've got to run, so that's the most important thing. Just kidding. That's why he thinks, schedule a 12 o'clock meeting ruins our whole day. We can do this, 1:30...we're going to an hour and a half tomorrow,or do we need to do it in the morning?","NULL"
"1847"," That's fine with me.","NULL"
"1848"," Let's just do it here. Let's do an hour and a half in the morning. Some of these meetings may run a little over. Let's do 10:00 to 11:30. Let's stick with that, and get back together that afternoon if we need more time.","NULL"
"1849"," Yeah. That's good.","NULL"
"1850"," Do you want to meet back in here? Does this work, or do we need to meet in the...?","NULL"
"1851"," Yeah. This is fine.","NULL"
"1852"," It seems to be available. All right, 10:00 to 11:30. Does that work? What time you normally do lunch?","NULL"
"1853"," 12:00. I might go in, and just...","NULL"
"1854"," All right. Well, that works out.","NULL"
"1855"," accept.","NULL"
"1856"," Oh, did she?","NULL"
"1857"," She was talking about being here.","NULL"
"1858"," She should be here, especially based on the conversation Brian and I just had.","NULL"
"1859"," You missed a good lunch, I'm going to tell you.","NULL"
"1860"," You missed a good lunch, I'll tell you.","NULL"
"1861"," Well, I wasn't invited to yours.","NULL"
"1862"," You guys went to Mugshots?","NULL"
"1863"," Yeah.","NULL"
"1864"," I went to Logan's.","NULL"
"1865","  .","NULL"
"1866"," Mine was free.","NULL"
"1867"," Oh, no. I'm fine.","NULL"
"1868"," You sure  ?","NULL"
"1869"," Oh, yeah. I'm so full. It's horrible. It was delicious but  .","NULL"
"1870"," I ate half my burger, so...","NULL"
"1871"," Mugshots burgers are...","NULL"
"1872"," It was so good. I was trying to force it down, and it was too much.","NULL"
"1873"," You've got a deposit?","NULL"
"1874"," Not yet. We're still waiting on the check, but that's the last thing before we sign everything.","NULL"
"1875","  .","NULL"
"1876"," That and the inspection.","NULL"
"1877"," Oh, yeah, it's tough.","NULL"
"1878"," It's an FHA loan so they have to do an appraisal too. When the appraisal comes back  .","NULL"
"1879"," You what?","NULL"
"1880"," They gave me a hard time for being late.","NULL"
"1881"," You can  .","NULL"
"1882"," Congratulations. You're earlier than  late.","NULL"
"1883"," While Jasmine's bringing up the stories for the HTML5 stuff, I talked with Brian a few minutes ago about how to handle the TFS and the areas for iterations, so we'll just leave it all in the Notify path. We'll figure out what we're going to do in a quarter for Notify, but then we'll have to just be cognizant.","NULL"
"1884"," Technically, when you're working an Agile process, you're supposed to be able to release, if you want to, after every iteration, to production. We'll run it that way. We'll have this release of the Notify, whatever we want to call it, we need to decide that.","NULL"
"1885"," Like, your release that's going out in a month can have an iteration of coding and an iteration of test and release it, because there's still iterations within this, so that Mahesh and Baski might be working on stuff and so that's what we have to manage is how you can work on stuff that doesn't go...","NULL"
"1886"," You're just saying, put them somewhere, and then pull them into the actual iterations? Is that what you're talking about?","NULL"
"1887"," Yeah, but then some stuff won't probably be usable.","NULL"
"1888","  .","NULL"
"1889"," Because you have confirmed releases going on at the same time. We've got this HTML5 release.","NULL"
"1890"," I know.  .","NULL"
"1891"," Well, you can talk to Brian. Brian had a team that worked like that at the beginning, and he said it was just a nightmare to figure it out.","NULL"
"1892"," Was it different code bases or it was the same code base?","NULL"
"1893"," It didn't matter.","NULL"
"1894"," Are you talking about for this?","NULL"
"1895"," For HTML5.","NULL"
"1896"," Baski can...What's the situation?","NULL"
"1897"," We decided that...","NULL"
"1898"," I withdraw the question.","NULL"
"1899"," I don't mind providing an answer based on experience. You guys don't have to accept it at all, really. You can look at it either way. All I can do is just bring past experience to the table. You guys can make the decision if it's  . Do I need to go where I told you?","NULL"
"1900"," You can, but...","NULL"
"1901"," Or we can do it at a different time.","NULL"
"1902"," We've got two hours, so...","NULL"
"1903"," I guess my first thought is, if you're going to have a bunch of Notify stories, like Karen's doing them, some of them relate to the  .","NULL"
"1904"," What? You could have two different teams working on the same code base, and they'd still have the same release, is what Brian said. You could have people on the HTML5 team that are getting those stories, and other people...","NULL"
"1905"," At the end of the day, it is the same, unless we were going to branch the code base, they're all working on the same code base, and they all need to be checked in and ready to go.","NULL"
"1906"," working on the same thing.","NULL"
"1907"," Do you know? I thought we were.","NULL"
"1908"," Because HTML5's website  . I guess .","NULL"
"1909"," I know it's going to get sticky when we start talking about  and functionality too.","NULL"
"1910"," You're saying it's a tradeoff, I guess. If we have to deal with the stories  , that's a lot easier issue than if we have .","NULL"
"1911"," You really have two pieces of the puzzle. Number one is resource allocation. I have a set of resources, and they need to be working on something  . How much they do, I wouldn't be able to predict what functionalities .","NULL"
"1912"," Then the second side of the coin is we have code, it's spread out across a lot of different modules, or locations for the location in TFS and  what they're working on.","NULL"
"1913","  they're separated TFS, judging by the same, what your asset is.","NULL"
